order_id,global_id,lat,lng
0,1380000005,1.378100,103.757470
1,1380000006,1.378120,103.757500
2,1380000007,1.377710,103.757030
3,1380000008,1.377960,103.757550
4,1380000009,1.377980,103.757580
5,1380000010,1.378070,103.757770
6,13800000106427,1.378220,103.757740
7,1380000011,1.378220,103.757670
8,1380000012,1.377800,103.756990
9,1380000015,1.320040,103.879880
10,138000001510144,1.319800,103.879360
11,138000001510145,1.319530,103.878600
12,138000001510146,1.319540,103.877130
13,13800000157591,1.319820,103.878800
14,1380000016,1.320250,103.880380
15,1380000017,1.371310,103.871660
16,13800000175265,1.371930,103.868940
17,13800000176817,1.372590,103.871950
18,1380000018,1.372900,103.871720
19,1380000019,1.373000,103.871640
20,13800000197644,1.373340,103.871330
21,1380000020,1.344860,103.838660
22,138000002013952,1.345930,103.838730
23,1380000021,1.346390,103.838660
24,1380000022,1.347030,103.838540
25,1380000023,1.347540,103.838390
26,1380000024,1.316840,103.857690
27,1380000025,1.316960,103.857490
28,1380000026,1.316760,103.857810
29,1380000027,1.316080,103.858800
30,1380000028,1.316460,103.859110
31,1380000029,1.317020,103.859580
32,1380000030,1.314620,103.859810
33,1380000031,1.314740,103.859730
34,1380000032,1.315080,103.859480
35,1380000033,1.299760,103.832370
36,1380000034,1.299780,103.832590
37,13800000345455,1.299190,103.831580
38,13800000345456,1.298770,103.831530
39,1380000035,1.324450,103.963280
40,138000003512710,1.324320,103.963790
41,138000003512711,1.324180,103.963840
42,138000003512712,1.323630,103.963480
43,138000003512713,1.322690,103.963610
44,138000003512714,1.322460,103.963370
45,1380000036,1.324950,103.963030
46,13800000361754,1.326290,103.964180
47,13800000361755,1.327980,103.964760
48,1380000037,1.324280,103.963340
49,1380000038,1.322340,103.963090
50,1380000039,1.340570,103.896550
51,1380000039331,1.340080,103.896680
52,1380000039332,1.340510,103.895830
53,1380000039333,1.340790,103.894530
54,1380000040,1.340720,103.896950
55,1380000041,1.327440,103.880150
56,1380000042,1.327610,103.880060
57,1380000043,1.327880,103.879940
58,1380000044,1.327490,103.880230
59,1380000045,1.327750,103.880130
60,1380000046,1.328010,103.880020
61,1380000047,1.384250,103.899960
62,138000004714707,1.385500,103.901200
63,1380000048,1.386010,103.901470
64,1380000049,1.384100,103.899810
65,1380000050,1.339530,103.776490
66,1380000051,1.339830,103.776190
67,1380000052,1.440020,103.788740
68,13800000528996,1.441040,103.789190
69,13800000528997,1.441900,103.789160
70,1380000053,1.442160,103.789110
71,13800000539005,1.442280,103.789550
72,1380000054,1.439240,103.788310
73,1380000055,1.339490,103.776510
74,13800000551939,1.339970,103.777060
75,13800000551940,1.340320,103.777320
76,1380000056,1.299600,103.838140
77,1380000057,1.299710,103.838160
78,1380000058,1.299980,103.838210
79,1380000059,1.326600,103.935290
80,138000005910942,1.326890,103.936780
81,1380000060,1.326640,103.937150
82,138000006010935,1.326160,103.937120
83,138000006010936,1.325880,103.937410
84,138000006010937,1.325820,103.937830
85,138000006010938,1.326020,103.938140
86,138000006010939,1.326490,103.938230
87,138000006010940,1.326820,103.937290
88,138000006010941,1.326890,103.937750
89,1380000061,1.326700,103.938190
90,1380000062,1.327300,103.938410
91,138000006210933,1.327190,103.937720
92,138000006210934,1.327370,103.937490
93,1380000063,1.326780,103.938020
94,1380000064,1.327630,103.940010
95,1380000065,1.327640,103.880510
96,1380000066,1.327660,103.937430
97,1380000067,1.338770,103.777040
98,1380000068,1.338920,103.776950
99,1380000069,1.339010,103.776880
100,1380000070,1.326100,103.935390
101,1380000071,1.327140,103.935210
102,1380000072,1.437070,103.790890
103,13800000728821,1.437380,103.791100
104,1380000073,1.437480,103.791580
105,1380000074,1.436230,103.790930
106,1380000075,1.435330,103.790960
107,13800000759783,1.435350,103.790510
108,1380000076,1.437090,103.790760
109,1380000077,1.437110,103.789640
110,1380000078,1.436850,103.789640
111,1380000079,1.437300,103.789640
112,1380000080,1.379500,103.760780
113,13800000801407,1.379890,103.760950
114,1380000081,1.379540,103.760860
115,1380000082,1.379690,103.761130
116,1380000083,1.355360,103.868360
117,13800000832177,1.355210,103.868180
118,1380000084,1.355400,103.868670
119,1380000085,1.437780,103.790430
120,13800000858825,1.437810,103.790910
121,13800000858826,1.437970,103.791090
122,1380000086,1.437970,103.791590
123,1380000087,1.355510,103.869790
124,1380000088,1.354650,103.867950
125,1380000089,1.354870,103.867940
126,1380000090,1.355520,103.870100
127,138000009013953,1.355490,103.870210
128,1380000091,1.437970,103.791870
129,1380000092,1.436220,103.790780
