04/08/201000:11:54, SHA1946P, 1562124, 103.84717, 1.27646, 14, FREE
04/08/201000:12:03, SHA1946P, 1562124, 103.84766, 1.27689, 30, FREE
04/08/201000:12:08, SHA1946P, 1562124, 103.84786, 1.27713, 31, FREE
04/08/201000:12:14, SHA1946P, 1562124, 103.84805, 1.27766, 44, FREE
04/08/201000:12:23, SHA1946P, 1562124, 103.8487, 1.27877, 54, FREE
04/08/201000:12:28, SHA1946P, 1562124, 103.84891, 1.27885, 20, FREE
04/08/201000:12:33, SHA1946P, 1562124, 103.84979, 1.27975, 31, FREE
04/08/201000:12:39, SHA1946P, 1562124, 103.84982, 1.27963, 5, FREE
04/08/201000:12:43, SHA1946P, 1562124, 103.84972, 1.27963, 13, FREE
04/08/201000:12:49, SHA1946P, 1562124, 103.84981, 1.2801, 15, FREE
04/08/201000:12:54, SHA1946P, 1562124, 103.85001, 1.28024, 31, FREE
04/08/201000:12:59, SHA1946P, 1562124, 103.84999, 1.28081, 18, FREE
04/08/201000:13:04, SHA1946P, 1562124, 103.85033, 1.28116, 30, FREE
04/08/201000:13:09, SHA1946P, 1562124, 103.8507, 1.28157, 32, FREE
04/08/201000:13:14, SHA1946P, 1562124, 103.85105, 1.28185, 36, FREE
04/08/201000:13:19, SHA1946P, 1562124, 103.85186, 1.28213, 33, FREE
04/08/201000:13:54, SHA1946P, 1562124, 103.85138, 1.28281, 0, FREE
04/08/201000:13:59, SHA1946P, 1562124, 103.85144, 1.28292, 8, FREE
04/08/201000:14:08, SHA1946P, 1562124, 103.85213, 1.28251, 0, FREE
04/08/201000:14:13, SHA1946P, 1562124, 103.85293, 1.28199, 34, FREE
04/08/201000:14:18, SHA1946P, 1562124, 103.85355, 1.28119, 60, FREE
04/08/201000:14:24, SHA1946P, 1562124, 103.85416, 1.2808, 59, FREE
04/08/201000:14:29, SHA1946P, 1562124, 103.85506, 1.2802, 62, FREE
04/08/201000:14:33, SHA1946P, 1562124, 103.85559, 1.27983, 63, FREE
04/08/201000:14:38, SHA1946P, 1562124, 103.85611, 1.27947, 61, FREE
04/08/201000:14:43, SHA1946P, 1562124, 103.85683, 1.27902, 46, FREE
04/08/201000:14:48, SHA1946P, 1562124, 103.85713, 1.27867, 30, FREE
04/08/201000:14:53, SHA1946P, 1562124, 103.85694, 1.27835, 38, FREE
04/08/201000:15:09, SHA1946P, 1562124, 103.8578, 1.2776, 49, FREE
04/08/201000:15:14, SHA1946P, 1562124, 103.85834, 1.2777, 55, FREE
04/08/201000:15:19, SHA1946P, 1562124, 103.8591, 1.27818, 60, FREE
04/08/201000:15:24, SHA1946P, 1562124, 103.85961, 1.27895, 59, FREE
04/08/201000:15:29, SHA1946P, 1562124, 103.85992, 1.27947, 62, FREE
04/08/201000:15:34, SHA1946P, 1562124, 103.86016, 1.27991, 65, FREE
04/08/201000:15:39, SHA1946P, 1562124, 103.86066, 1.28075, 66, FREE
04/08/201000:15:45, SHA1946P, 1562124, 103.86108, 1.28162, 62, FREE
04/08/201000:15:53, SHA1946P, 1562124, 103.86116, 1.28299, 59, FREE
04/08/201000:15:58, SHA1946P, 1562124, 103.86119, 1.28373, 58, FREE
04/08/201000:16:03, SHA1946P, 1562124, 103.86136, 1.28479, 61, FREE
04/08/201000:16:08, SHA1946P, 1562124, 103.86141, 1.28541, 61, FREE
04/08/201000:16:14, SHA1946P, 1562124, 103.86142, 1.28603, 62, FREE
04/08/201000:16:19, SHA1946P, 1562124, 103.86146, 1.28665, 64, FREE
04/08/201000:16:24, SHA1946P, 1562124, 103.8615, 1.28807, 72, FREE
04/08/201000:16:28, SHA1946P, 1562124, 103.86152, 1.28877, 68, FREE
04/08/201000:16:39, SHA1946P, 1562124, 103.86157, 1.2904, 63, FREE
04/08/201000:16:44, SHA1946P, 1562124, 103.86161, 1.29134, 62, FREE
04/08/201000:16:49, SHA1946P, 1562124, 103.86171, 1.29194, 60, FREE
04/08/201000:16:53, SHA1946P, 1562124, 103.86192, 1.2925, 58, FREE
