==========    1    ===========
          11899           70624    -1000000000.000000000000000
          11899           66475    -1000000000.000000000000000
          11899           66476    -1000000000.000000000000000
          11899           66477    -1000000000.000000000000000
          11899           66478    -1000000000.000000000000000
          11899           11899             -0.127269207328204
          11899           11901             -2.124410494206344
          11899           70623    -1000000000.000000000000000
          11902           70624    -1000000000.000000000000000
          11902           66475             -2.020516978233709
          11902           66476    -1000000000.000000000000000
          11902           66477    -1000000000.000000000000000
          11902           66478             -1.357130728970198
          11902           11899             -1.112927964022291
          11902           11901             -3.728821252411023
          11902           70623             -1.357130728970198
          31875           70624    -1000000000.000000000000000
          31875           66475    -1000000000.000000000000000
          31875           66476    -1000000000.000000000000000
          31875           66477    -1000000000.000000000000000
          31875           66478    -1000000000.000000000000000
          31875           11899    -1000000000.000000000000000
          31875           11901    -1000000000.000000000000000
          31875           70623    -1000000000.000000000000000
          31881           70624    -1000000000.000000000000000
          31881           66475             -3.418967691931374
          31881           66476    -1000000000.000000000000000
          31881           66477    -1000000000.000000000000000
          31881           66478             -3.318548910877630
          31881           11899             -0.113181667398091
          31881           11901             -6.290033299636140
          31881           70623             -3.318548910877630
          31882           70624    -1000000000.000000000000000
          31882           66475             -1.109528833005778
          31882           66476    -1000000000.000000000000000
          31882           66477    -1000000000.000000000000000
          31882           66478             -1.103876609597010
          31882           11899             -4.944934053144008
          31882           11901    -1000000000.000000000000000
          31882           70623             -1.103876609597010
          66475           70624    -1000000000.000000000000000
          66475           66475             -1.131711168400733
          66475           66476             -3.434296261394779
          66475           66477    -1000000000.000000000000000
          66475           66478             -1.131711168401023
          66475           11899             -8.082139648325944
          66475           11901    -1000000000.000000000000000
          66475           70623             -1.131711168401023
          66476           70624    -1000000000.000000000000000
          66476           66475             -2.885401451247839
          66476           66476             -0.208879249477639
          66476           66477    -1000000000.000000000000000
          66476           66478             -2.946737174768918
          66476           11899             -3.588025012501082
          66476           11901    -1000000000.000000000000000
          66476           70623             -2.946737174768918
          66477           70624    -1000000000.000000000000000
          66477           66475    -1000000000.000000000000000
          66477           66476             -1.134488390756204
          66477           66477             -1.134488390756204
          66477           66478             -3.437073483750250
          66477           11899             -5.782331777687370
          66477           11901    -1000000000.000000000000000
          66477           70623             -1.134488390756204
          66478           70624    -1000000000.000000000000000
          66478           66475    -1000000000.000000000000000
          66478           66476             -4.057646847956495
          66478           66477             -4.048096859292522
          66478           66478             -0.053437566844354
          66478           11899    -1000000000.000000000000000
          66478           11901    -1000000000.000000000000000
          66478           70623             -4.057646847956495
          70623           70624             -4.453325677840146
          70623           66475    -1000000000.000000000000000
          70623           66476             -8.480387811889216
          70623           66477    -1000000000.000000000000000
          70623           66478             -8.480387811889216
          70623           11899    -1000000000.000000000000000
          70623           11901    -1000000000.000000000000000
          70623           70623             -0.012128036986899
          70624           70624             -1.134488390756204
          70624           66475    -1000000000.000000000000000
          70624           66476             -1.134488390756204
          70624           66477    -1000000000.000000000000000
          70624           66478             -1.134488390756204
          70624           11899             -5.782331777687370
          70624           11901    -1000000000.000000000000000
          70624           70623             -3.437073483750250
          75372           70624    -1000000000.000000000000000
          75372           66475             -0.300529947699896
          75372           66476             -2.217857804054493
          75372           66477             -2.203126995329414
          75372           66478    -1000000000.000000000000000
          75372           11899    -1000000000.000000000000000
          75372           11901    -1000000000.000000000000000
          75372           70623             -3.212023568779854
          75373           70624    -1000000000.000000000000000
          75373           66475    -1000000000.000000000000000
